"SampleID","eventID"
"MOO_23_BS","Ransome_MOO02_MOO23_120201_140119"
"OAH_12_BS","Ransome_OAH12_OAH12B_100101_2013"
"PAG_1_BS","Ransome_PAG01_PAG01C_110101_140101"
"PAG_5_BS","Ransome_PAG05_PAG05C_110101_140101"
"PHR_26_BS","Ransome_PHR26_PHR26A_100101_130101"
"PHR_33B_BS","Ransome_PHR33_PHR33B_100101_130101"
"PHR_42_BS","Ransome_PHR42_PHR42A_100101_130101"
"SAI_5_BS","Ransome_SAI05_SAI05A_110101_140101"
"TIM_4_BS","Ransome_TIM04_TIM04A_121019_140928"
"WAK_8_BS","Ransome_WAK08_WAK08A_110101_140101"
