"SampleID","Hill_q0","Hill_q1","Hill_q2","eventID","proportionshallow","distance.km.","NearestShelf_Longitude","NearestShelf_Latitude","ShelfMatch","rownames.d.","score","scorecn","scorecy","scorepfc","scoreth","scoretr","grav_NC","sediment","nutrient","pop_count","num_ports","reef_value","cumul_score"
"BAO_2B_BS",81,14.3646984053436,6.87980146330232,"Ransome_BAO02_BAO02B_120312_150526",0.167763158,130,120.2416854,12.75000453,1,"Ransome_BAO02_BAO02B_120312_150526",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"BAO_2C_BS",111,16.6881575997393,7.4270248837814,"Ransome_BAO02_BAO02C_120312_150526",0.167763158,130,120.2416854,12.75000453,1,"Ransome_BAO02_BAO02C_120312_150526",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"CE_01_BS",52,6.99498610396344,4.00639677284103,"Ransome_IND01_CE01_110701_120601",0.187713311,10,114.5916854,-8.099997258,1,"Ransome_IND01_CE01_110701_120601",-0.11338,0.58217,0.58527,0.20176,-1.70363,-2.1502,0.891030323,0.972248786,0.968474195,0.957872372,0,0.994963001,0.797431446
"CE_02_BS",80,13.4513265677565,9.25136135052194,"Ransome_IND01_CE02_110701_120601",0.187713311,10,114.5916854,-8.099997258,1,"Ransome_IND01_CE02_110701_120601",-0.11338,0.58217,0.58527,0.20176,-1.70363,-2.1502,0.891030323,0.972248786,0.968474195,0.957872372,0,0.994963001,0.797431446
"CE_03_BS",42,4.89622662351816,2.84868166237128,"Ransome_IND01_CE03_110701_120601",0.187713311,10,114.5916854,-8.099997258,1,"Ransome_IND01_CE03_110701_120601",-0.11338,0.58217,0.58527,0.20176,-1.70363,-2.1502,0.891030323,0.972248786,0.968474195,0.957872372,0,0.994963001,0.797431446
"FFS_12_BS",37,12.8949787439983,7.91999760953611,"Ransome_FFS12_FFS12A_100101_130101",0.113207547,5530,137.5416854,37.45000664,1,"Ransome_FFS12_FFS12A_100101_130101",-0.03352,-0.95296,0.58897,-0.73569,0.46661,0.07619,0.184956266,0,0,0,0,0,0.030826044
"FFS_34_BS",28,12.0282804256967,7.72559518118367,"Ransome_FFS34_FFS34A_100101_130101",0.113564669,5530,137.5416854,37.45000664,1,"Ransome_FFS34_FFS34A_100101_130101",-0.03152,-0.95296,0.57219,-0.73738,0.49712,0.09293,0.186098781,0,0,0,0,0,0.031016463
"GUA_2_BS",69,9.37809583560686,6.21037647497873,"Ransome_GUA02_GUA02C_110101_140101",0.043918919,2190,137.1916854,-4.999996993,2,"Ransome_GUA02_GUA02C_110101_140101",-0.18347,-2.39127,-2.48678,0.07798,-0.21696,0.0258,0.146279335,0.686608062,0,0.741867536,0,0.967525093,0.423713338
"GUA_5_BS",108,19.6393855117974,13.5235873834043,"Ransome_GUA05_GUA05B_110101_140101",0.043624161,2220,137.1916854,-4.999996993,2,"Ransome_GUA05_GUA05B_110101_140101",-0.16449,-2.39371,-2.4978,0.08384,-0.02422,0.24534,0.206495477,0.668107253,0,0.977251081,0,0.984321196,0.472695834
"GUA_8A_BS",69,9.22811998532685,5.08384583297778,"Ransome_GUA08_GUA08A_110101_140101",0.043771044,2210,137.1916854,-4.999996993,2,"Ransome_GUA08_GUA08A_110101_140101",-0.10973,-0.84275,-2.45465,0.08382,-0.03297,0.18436,0.09379858,0.663086656,0,0.983698439,0,0.970034435,0.451769685
"GUA_8B_BS",68,6.88049354432507,3.68193376059862,"Ransome_GUA08_GUA08B_110101_140101",0.043771044,2210,137.1916854,-4.999996993,2,"Ransome_GUA08_GUA08B_110101_140101",-0.10973,-0.84275,-2.45465,0.08382,-0.03297,0.18436,0.09379858,0.663086656,0,0.983698439,0,0.970034435,0.451769685
"GUA_8C_BS",56,14.4004605555245,7.33106313596625,"Ransome_GUA08_GUA08C_110101_140101",0.043771044,2210,137.1916854,-4.999996993,2,"Ransome_GUA08_GUA08C_110101_140101",-0.10973,-0.84275,-2.45465,0.08382,-0.03297,0.18436,0.09379858,0.663086656,0,0.983698439,0,0.970034435,0.451769685
